decade,name,born,municipality,district,chamber
1921,"Berge, Nils Adolf",1869,,Stockholms län och Uppsala län,fk
1921,"Berglund, Jan Erik",1864,,,
1921,"Bergman, Ingebrikt",1864,Stockholm,Värmlands län,fk
1921,"Bergqvist, Bengt Jakobsson",1860,Luleå,Västerbottens län och Norrbottens län,fk
1921,"Bergström, David Kristian",1858,Hälsingborg,Östergötlands län,ak
1921,"Bergström, Kristoffer",1880,,Norrbottens län,ak
1921,"Bergström, Per Albert",1869,Norrköping,Malmöhus län,fk
1921,"Bergström, Petrus",1881,Bäckland,,ak
1921,"Bernström, Erik Andreas",1875,Osby,Stockholms län,ak
1921,"Beskow, Einar August",1880,,,
1921,"Billqvist, Johan Wilhelm",1867,Skövde,,ak
1921,"Bjurström, Theodor",1874,,Kopparbergs län,fk
1921,"Björck, Karl Anders Wilhelm",1888,,,
1921,"Beskow, Gunnar Wilhelm",1879,,,
1921,"Beskow, Knut Jakob",1876,Hälsingborg,,ak
1921,"Bissmark, Georg Fredrik",1871,Halmstad,Kristianstads län,ak
1921,"Björk, Nils",1866,Tryde,Kristianstads län,ak
1921,"Björklund, Lars Anton",1881,,Kristianstads län,ak
1921,"Björkman, Alexis",1853,Stockholm,Södermanlands och Västmanlands län,fk
1921,"Björkman, Carl Albin",1870,,Älvsborgs län,ak
1921,"Björkman, Gustaf Adolf",1871,Norrköping,Östergötlands län,ak
1921,"Björling, Carl Joel",1875,,Värmlands län,ak
1921,"Björnberg, Karl Eric",1872,,Uppsala län,ak
1921,"Björnsson, Johan Edvard",1878,Borås,Älvsborgs län,fk
1921,"Blomquist, Josef Herman",1879,Växjö,Kronobergs län,ak
1921,"Block, Fredrik Ernst August",1867,Stockholm,,ak
1921,"Boberg, Carl Gustaf",1859,Kalmar,Gotlands län,fk
1921,"Bodin, Lars Gunnar",1872,Sala,Västmanlands län,ak
1921,"Boman, Gustaf",1861,Göteborg,,fk
1921,"Bondeson, Nils Anton",1872,,Kronobergs län och Hallands län,fk
1921,"Borell, Karl Gustaf Theodor",1869,,Stockholms län och Uppsala län,fk
1921,"Borg, Karl August Olsson",1866,Skutskär,Uppsala län,ak
1921,"Borge, Oscar Fredrik",1862,Stockholm,,fk
1921,"Borggren, Lars",1876,Ängelholm,Kristianstads län,ak
1921,"Branting, Karl Hjalmar",1860,Stockholm,,ak
1921,"Bratt, Ivan",1878,Stockholm,Gotlands län,ak
1921,"Bruhn, Otto August",1872,Skellefteå,Västerbottens län,ak
1921,"Bäckström, Werner",1866,,Västerbottens län,ak
1921,"Bärg, Anders Johan",1870,Katrineholm,Södermanlands län,ak
1921,"Carleson, Axel Oskar Conrad",1870,Stockholm,Bohus län,ak
1921,"Carlson, Carl Vilhelm",1876,Mölndal,,ak
1921,"Carlsson, Carl August",1873,Gävle,Gävleborgs län,ak
1921,"Carlsson, Hjalmar",1886,Ystad,Malmöhus län,ak
1921,"Carlsson, Johan",1864,,Värmlands län,fk
1921,"Carlsson, Olof",1872,Stockholm,Blekinge län och Kristianstads län,ak
1921,"Carlsson, Johan Gustaf",1884,Ystad,Värmlands län,ak
1921,"Clason, Samuel",1867,Stockholm,,fk
1921,"Carlström, Oscar Ludvig",1879,Helgagård,Stockholms län,ak
1921,"Christenson, Johan Birger",1875,,,
1921,"Clemedtson, Jeppe",1885,Dahl,Värmlands län,ak
1921,"Dahl, Peter Adolf",1868,Kristianstad,Göteborgs och Bohus län,ak
1921,"Dahlberg, Knut",1877,,,
1921,"Dalberg, Erik",1869,Borlänge,Kalmar län,ak
1921,"Danielsson, August",1876,Mörlanda,Älvsborgs län,ak
1921,"Geer, Gerard Louis",1854,,,
1921,"Ekberg, Alfrida Christina",1874,,Stockholms län,ak
1921,"Ekberg, Seve Ellenis",1887,,,
1921,"Ekeberg, Lars Birger",1880,,,
1921,"Ekenstam, Carl Theodor",1858,,Västernorrlands län,ak
1921,"Edberg, Per Jonas",1878,,,
1921,"Eklund, Carl Anders Rudolf",1883,,Västmanlands län,ak
1921,"Ekman, Carl Gustaf",1872,Stockholm,Stockholms län och Uppsala län,ak
1921,"Ekman, Karl Johan",1863,Jönköping,Jönköpings län,fk
1921,"Eliasson, Elias Reinhold",1872,,Kronobergs län,ak
1921,"Elisson, Anders Petter",1876,,Kronobergs län och Hallands län,
1921,"Elliot, Erik Holger",1887,,,
1921,"Elmquist, Gustaf Henning",1871,,,
1921,"Engberg, Jonas Arthur",1888,Malmö,,ak
1921,"Englund, Ivar Erik Bernhard",1886,Vikmanshyttan,Kopparbergs län,ak
1921,"Ericson, Frans Oscar",1879,Boxholm,Östergötlands län,ak
1921,"Enhörning, Erik August",1860,,Jämtlands län,
1921,"Ericson, Karl Oscar",1866,,,
1921,"Ericson, Christian",1868,Funäsdalen,,ak
1921,"Eriesson, Aaby Arvid Wilhelm",1859,,Kronobergs län,fk
1921,"Ericsson, Axel Emil Mårten",1871,,,
1921,"Erikson, Gustaf Oskar",1876,,,
1921,"Ericsson, Carl Johan",1868,,Västmanlands län,ak
1921,"Ericsson, Evald",1883,Sörsjön,Kopparbergs län,ak
1921,"Ericsson, Johan Emil",1881,Sörbo,Kopparbergs län,ak
1921,"Ericsson, Ollas Anders",1858,Ovanmyra,Hallands län,fk
1921,"Erikson, Fredrik Arvid",1865,,Stockholms län,fk
1921,"Eriksson, Albin",1879,Toftered,Gävleborgs län,ak
1921,"Eriksson, Johan Albert",1857,Jönköping,,
1921,"Eriksson, Johan Bernhard",1878,,,ak
1921,"Eriksson, Erik",1866,,Norrbottens län,fk
1921,"Eriksson, Erik Gustaf",1876,Västbro,,ak
1921,"Eriksson, Ollas Erik",1872,,,ak
1921,"Erlansson, John",1863,,,
1921,"Eriksson, Valfrid",1879,,Värmlands län,ak
1921,"Ernfors, Oskar August",1864,,Kopparbergs län,ak
1921,"Falk, Johan Ludvig",1873,Kalmar,,ak
1921,"Fast, Johan Erik Gereon",1883,Nässjö,,ak
1921,"Fager, Charly Artur",1891,,,ak
1921,"Fehr, Martin Nikolaus",1885,Stockholm,Stockholms län och Uppsala län,fk
1921,"Fagerlund, Emil",1869,Ljusdal,Gävleborgs län,fk
1921,"Fjellman, Johannes",1877,Ystad,Östergötlands län,ak
1921,"Flognfält, Gustaf",1872,,Värmlands län,ak
1921,"Flyg, Nils Svante",1891,,Stockholms län,ak
1921,"Forsberg, Hans Gustaf",1881,,,
1921,"Forssberg, Johan Erik",1865,,Blekinge län och Kristianstads län,fk
1921,"Franzen, Karl Gustaf Algot",1883,Karlstad,Värmlands län,fk
1921,"Frost, Henrik Vilhelm",1892,,Västernorrlands län,ak
1921,"Forssell, Carl Abraham",1881,Stockholm,,fk
1921,"Forssell, Carl Arne",1887,Stockholm,,ak
1921,"Forsman, Per Hilding",1886,,,
1921,"Gabrielsson, Nils",1876,Umeå,Västerbottens län och Norrbottens län,fk
1921,"Gardell, Arvid Lars Johan",1887,Stenstu,Gotlands län,ak
1921,"Gardell, Petter Theodor",1872,Gans,Gotlands län,ak
1921,"Geijer, Erik Gustaf",1883,Stockholm,Malmöhus län,fk
1921,"Geijer, Knut Ebbe",1864,,,
1921,"Godin, Erik",1866,,Västernorrlands län,ak
1921,"Granath, Per",1882,,Gävleborgs län,ak
1921,"Granström, Anders Josef",1866,,Västernorrlands län,fk
1921,"Grevesmihl, Carl Adolf",1877,,,fk
1921,"Grapenson, Peter Jöran",1878,Gällivare,Norrbottens län,ak
1921,"Gustafson, Arthur Wilhelm",1870,Kasenberg,Älvsborgs län,ak
1921,"Gustafson, Emil August",1887,Vimmerby,Kalmar län,ak
1921,"Gustafsson, Anders Petter",1852,Örebro,Örebro län,ak
1921,"Gustafsson, Gustaf Adolf",1875,,,
1921,"Gustafson, Hjalmar Albin",1883,Stockholm,Stockborgs län,ak
1921,"Gustafson, Johan Fritiof",1889,,Skaraborgs län,fk
1921,"Gärde, Johannes Natanael",1880,,,
1921,"Gustafsson, Per Johan",1880,Benestad,Hallands län,fk
1921,"Göranson, Ernst",1887,Falla,,ak
1921,"Hage, Ernst August",1876,Stockholm,Stockholms län,ak
1921,"Hallin, Eric Adolf",1870,,Göteborgs och Bohus län,fk
1921,"Hamilton, Hugo Erik Gustaf",1849,Stockholm,Älvsborgs län,fk
1921,"Hamilton, Raoul Gustaf",1855,,Kristianstads län,ak
1921,"Hammarlund, Nestor",1888,,Kristianstads län,ak
1921,"Hamrin, Felix Teodor",1875,Jönköping,Jönköpings län,ak
1921,"Hansson, Anders Emil",1882,,,
1921,"Hansson, Axel Hugo",1879,Trollhättan,Blekinge borgs län,ak
1921,"Hansson, Eskils Hans",1857,,,ak
1921,"Hansson, Gustaf Wilhelm",1878,Gårda,Göteborgs och Bohus län,ak
1921,"Hansson, Nils",1867,,,
1921,"Hansson, Per Albin",1885,Stockholm,,ak
1921,"Hansson, Sigfrid",1884,Stockholm,Göteborgs och Bohus län,fk
1921,"Hasselrot, Bror Carl",1882,,,
1921,"Hederstierna, Carlfredrik Wilhelm",1861,Stockholm,,ak
1921,"Hedlund, Paulus Samuel",1878,Östersund,Jämtlands län,ak
1921,"Hedlund, Verner Vilhelm",1883,Östersund,Jämtlands län,ak
1921,"Hedström, August Helmer",1873,Gäddvik,Norrbottens län,ak
1921,"Hedvall, Jakob Julius",1886,Göteborg,,ak
1921,"Hegardt, Ingeborg",1880,Östersund,Hallands län,ak
1921,"Heiding, Gustaf Arthur",1883,,Kalmar län,ak
1921,"Hellberg, Johan Adolf",1871,,Södermanlands län,ak
1921,"Hellberg, Karl Mauritz Bernhard",1859,Karlstad,Värmlands län,fk
1921,"Henrikson, Anders",1869,,,ak
1921,"Hellström, Paul",1866,Stockholm,Västerbottens län och Norrbottens län,fk
1921,"Herou, Johan Viktor",1889,Stockholm,,ak
1921,"Heyman, Knut Aron",1870,,,fk
1921,"Holmberg, Gustav Anton",1877,Linköping,,ak
1921,"Hilding, Anders",1869,,Gävleborgs län,ak
1921,"Holmgren, Björn Fritiofsson",1872,Karlskrona,Blekinge län,ak
1921,"Nte, Utbrott",1870,,Skaraborgs län,fk
1921,"Holmdahl, Otto Samuel",1881,Stockholm,,ak
1921,"Holmner, Fredrik Emanuel",1872,,Västerbottens län,ak
1921,"Holmgren, Israel Fritiofsson",1871,Stockholm,,fk
1921,"Holmström, Karl Wiktor",1868,Stockholm,,ak
1921,"Holmström, Nils",1884,Gävle,Gävleborgs län,ak
1921,"Hällgren, Elof Wendel",1887,Göteborg,Blekinge län,ak
1921,"Hult, Adam",1870,,Västmanlands län,fk
1921,"Hultman, Axel Emil",1880,,Gävleborgs län,ak
1921,"Igel, Johan Peter",1855,Stockholm,Värmlands län,ak
1921,"Ingeström, Högström",1880,Sandviken,Värmlands län,ak
1921,"Ingmansson, John",1845,Stockholm,Blekinge län,fk
1921,"Isacsson, Ola",1885,,Kristanstads län,ak
1921,"Isaksson, Anders Viktor",1855,Västervik,Västmanlands län,ak
1921,"Jansson, Carl Petter",1855,Edsbäcken,Värmlands län,ak
1921,"Jansson, Carl Robert",1868,Falun,,ak
1921,"Jansson, Johan Ivar",1893,,Örebro län,ak
1921,"Jeansson, John",1865,Kalmar,Gotlands län,fk
1921,"Personregister, Jensen",1881,Lund,,ak
1921,"Jeppsson, Ola",1887,,Malmöhus län,ak
1921,"Johanson, Carl",1851,Gäre,Skaraborgs län,ak
1921,"Johanson, Carl Johan Emanuel",1871,Hörninge,Kalmar län,ak
1921,"Johanson, Carl Oskar",1870,Huskvarna,Jönköpings län,ak
1921,"Johanson, Gustav Albert",1887,Hallagården,Skaraborgs län,ak
1921,"Johansson, Anders Johan",1863,Bro,Västmanlands län,ak
1921,"Johansson, August Wilhelm",1864,,Skaraborgs län,fk
1921,"Johansson, Carl",1856,Hälsingborg,Malmöhus län,fk
1921,"Johansson, Carl Johan",1867,Uppmälby,Södermanlands län,ak
1921,"Johansson, Carl Oscar",1875,Sollefteå,Västernorrlands län,ak
1921,"Johansson, Emil Gereon",1885,Norrtälje,Stockholms län och Uppsala län,
1921,"Johansson, Erik Gustaf",1864,Kullersta,Östergötlands län,ak
1921,"Johansson, Johan",1872,,Älvsborgs län,fk
1921,"Johansson, Johan",1868,Kälkebo,Gävleborgs län,ak
1921,"Johansson, Johan",1870,Tväråselet,Norrbottens län,
1921,"Johansson, Johan Bernhard",1877,,Kronobergs och Hallands län,fk
1921,"Johansson, Johan Lennart",1884,Fårekulla,Älvsborgs län,ak
1921,"Johansson, Johan Peter",1874,Östersund,Västernorrlands län och Jämtlands län,fk
1921,"Johansson, Johan Otto",1869,Väby,Älvsborgs län,ak
1921,"Johansson, Karl",1880,,Blekinge län,
1921,"Johansson, Nils",1864,Brånalt,Hallands län,ak
1921,"Johansson, Olof",1867,Edsbyn,Gävleborgs län,ak
1921,"Johansson, Sven Albert",1875,Krogstorp,Kalmar län,ak
1921,"Johnsson, Gustaf Leonard",1887,Kalmar,,ak
1921,"Jonsson, Carl Johan",1855,Mörkhult,Jönköpings län,ak
1921,"Jonsson, Johan August",1851,Hökhult,Jönköpings län,ak
1921,"Johnsson, Johan Georg",1877,,Jönköpings län,ak
1921,"Jonsson, Johan Oskar",1869,,Södermanlands län,ak
1921,"Jonsson, Oscar Magnus",1880,Risinge,Östergötlands län,ak
1921,"Jonsson, Per Conrad",1886,Eskilstuna,Södermanlands län,ak
1921,"Jonsson, Per Ewert Arnljot",1869,Lycksele,Västerbottens län och Norrbottens län,fk
1921,"Julin, Fredrik",1873,,Värmlands län,fk
1921,"Julin, Johan Hjalmar Teodor",1880,Stockholm,Stockholms län och Uppsala län,fk
1921,"Jönsson, Ernst Bruno",1866,,Bohus län,fk
1921,"Jönsson, Johan",1875,Revinge,Malmöhus län,ak
1921,"Järte, Otto Edvard Fridolf",1881,Stockholm,,ak
1921,"Jönsson, John",1862,Boa,Blekinge län,ak
1921,"Jönsson, Jöns",1867,,Malmöhus län,fk
1921,"Jönsson, Swen",1877,Fridhill,Kristianstads län,ak
1921,"Kaijser, Fritz Richard",1868,Härnösand,Västernorrlands län,ak
1921,"Kant, Karl Gustaf Walter",1872,Uppsala,Uppsala län,ak
1921,"Karlfeldt, Erik Axel",1864,,,
1921,"Karlsson, Gottfrid",1872,,Örebro län,fk
1921,"Karlsson, John Otto",1855,Västerås,Södermanlands län och Västmanlands län,fk
1921,"Karlsson, Karl Gustaf",1889,,,
1921,"Karlsson, Karl Verner",1882,Munkedal,Västernorrlands län,ak
1921,"Karlsson, Karl Verner",1880,Grängesberg,Kop parbergs län,ak
1921,"Karlsson, Oscar Gottfrid",1882,Vadstena,Östergötlands län,ak
1921,"Karlsson, Sven Johan",1874,Lummelunda,Gotlands län,ak
1921,"Kilbom, Karl",1885,Stockholm,,ak
1921,"Kinmansson, Henrik Selfrid",1874,Stockholm,,ak
1921,"Klefbeck, Ernst Alarik",1866,Stockholm,,fk
1921,"Kloo, Karl Oskar Waldemar",1867,Karlskrona,Blekinge län,ak
1921,"Knutsson, Carl Konstantin",1878,Linköping,Östergötlands län,ak
1921,"Kobb, Gustaf",1863,Stockholm,Södermanlands län och Västmanlands län,fk
1921,"Koch, Richert Gerhard Halfred",1872,,Örebro län,fk
1921,"Kristensson, Emil",1879,Göteborg,,ak
1921,"Kropp, Martin",1878,,Blekinge län och Kristianstads län,fk
1921,"Krusenstjerna, Adolf Wilhelm",1851,,,
1921,"Kvarnzelius, Svante Herman",1864,Falun,Kopparbergs län,fk
1921,"Källman, Gustaf Wilhelm",1877,Sundbyberg,Stockholms län,ak
1921,"Lagerbjelke, Johan Gustaf",1860,,Stockholms län och Uppsala län,fk
1921,"Lagerkwist, Frans Sigurd Helmer",1887,,Västernorrlands län,ak
1921,"Lagerqvist, Frans Axel",1865,,,ak
1921,"Lagerfelt, Israöl Christian Gustaf",1874,,Östergötlands län,fk
1921,"Lamm, Herman Fredrik",1853,Stockholm,,fk
1921,"Larson, Carl",1871,Tönnersa,Hallands län,ak
1921,"Larson, Viktor Edward",1867,,Skaraborgs län,
1921,"Larsson, Carl Otto",1871,,Skaraborgs län,ak
1921,"Larsson, Curt Lauritz",1887,Göteborg,,ak
1921,"Larsson, Jacob Timoteus",1851,Lidingö,Malmöhus län,fk
1921,"Larsson, Johan",1877,,Stockholms län och Uppsala län,fk
1921,"Larsson, Johan August",1875,Jonsjö,Kronobergs län och Hallands län,ak
1921,"Larsson, Per Adolf",1872,,Älvsborgs län,fk
1921,"Larsson, Svening Alfred",1856,Kroken,Älvsborgs län,ak
1921,"Larsson, Viktor",1869,Västerås,Västmanlands län,ak
1921,"Laurin, Harald",1875,,Stockholms län,ak
1921,"Leander, Urik",1858,Karlskrona,Blekinge län och Kristianstads län,ak
1921,"Leffler, Justus Edvin",1875,Kinna,Älvsborgs län,ak
1921,"Leo, Henning",1885,Lidingö,Kronobergs län,ak
1921,"Levinson, Karl Samuel",1885,,,
1921,"Lilliecreutz, Samuel Henrik Fabian",1866,Jönköping,Jönköpings län,ak
1921,"Lilienberg, Berndt Nils Robert",1872,,,
1921,"Lind, Olof",1861,,Kopparbergs län,fk
1921,"Lindberg, Elof Herman",1891,Umeå,Västerbottens län,ak
1921,"Lindblad, Anders Christenson",1866,Göteborg,,fk
1921,"Linder, Fredrik William",1876,Stockholm,Blekinge län och Kristianstads län,fk
1921,"Linders, Sven",1873,,Malmöhus län,fk
1921,"Lindgren, Anders",1875,,Älvsborgs län,ak
1921,"Lindhagen, Carl Albert",1860,,Västernorrlands län och Jämtlands län,fk
1921,"Lindley, Charles Gustaf",1865,Stockholm,,fk
1921,"Lindley, Ernst Isidor",1878,,Gävleborgs län,ak
1921,"Lindman, Ernst Arnold",1877,,,
1921,"Lindman, Salomon Arvid Achates",1862,Stockholm,,ak
1921,"Lindmark, Ewald Eugen",1885,,Västerbottens län,ak
1921,"Lindqvist, August Herman",1863,Stockholm,,ak
1921,"Lindqvist, Axel Albert",1878,Halmstad,Hallands län,ak
1921,"Lindqvist, Fritz Leander",1865,Stockholm,Västernorrlands län och Jämtlands län,fk
1921,"Lindskog, Claes",1870,Malmö,,ak
1921,"Lindskog, Carl Johan Fritiof",1879,,Malmöhus län,fk
1921,"Lindstedt, Gustaf Ferdinand",1883,,,
1921,"Lindstrand, Nils",1869,,Östergötlands län,fk
1921,"Lindström, Alfred",1879,,Norrbottens län,ak
1921,"Lindström, Per Elof",1863,Mörby,Stockholms län,ak
1921,"Lithander, Olof Axel Edvard",1870,Göteborg,,ak
1921,"Ljungberg, Axel Emil",1882,,Kronobergs län och Hallands län,ak
1921,"Ljung, Erik Walfrid",1878,Svalöv,Malmöhus län,ak
1921,"Ljunggren, August",1874,Stockholm,Örebro län,ak
1921,"Ljungkvist, Sven Edvin",1880,Borås,Älvsborgs län,ak
1921,"Ljunglund, Leonard Kristian Vin-",1867,Stockholm,,
1921,"Lorichs, Lorentz Ludvig",1867,,Västmanlands län,ak
1921,"Lundberg, Måns Bengtsson",1867,Malmö,,fk
1921,"Lundbom, Johan Erik",1876,,Södermanlands län,ak
1921,"Lundell, Ernst August",1857,,Skaraborgs län,fk
1921,"Lundgren, Ernst",1873,,Örebro län,ak
1921,"Lundkvist, Bror Karl",1878,Eskilstuna,Södermanlands län,ak
1921,"Lundquist, Carl Oscar",1860,Baggarbo,Uppsala län,ak
1921,"Lundquist, Ragnar",1885,Rotebro,Stockholms län,ak
1921,"Lundstedt, Anders Vilhelm",1882,Uppsala,Uppsala län,ak
1921,"Lundström, Adolf Linus",1870,,Norrbottens län,ak
1921,"Lundström, Gustaf Harald",1890,,Norrbottens län,ak
1921,"Lundvik, Vilhelm Göran",1883,,,
1921,"Luterkort, Salli",1884,Sundsvall,Västernorrlands län och Jämtlands län,fk
1921,"Liibeck, Sven Edvard Julius",1877,,,ak
1921,"Lybeck, Otto Emil",1871,,,
1921,"Lyberg, Ernst Emil",1874,Falun,Kopparbergs län,
1921,"Löfgren, Jonas Eliel",1872,Stockolm,Uppsala län,ak
1921,"Löfvander, Axel",1880,,Malmöhus län,fk
1921,"Lövgren, Oscar Wilhelm",1888,Nyborg,Norrbottens län,ak
1921,"Magnuson, Paul",1876,Stockholm,,
1921,"Magnusson, Ernst Otto",1864,Tumhult,Kronobergs län,ak
1921,"Magnusson, Karl Ernst",1873,Kalmar,Kalmar län,ak
1921,"Magnusson, Karl Hilding",1877,Skövde,Skaraborgs län,ak
1921,"Malm, Carl Gösta Oskar",1873,,,
1921,"Malmberg, Gustaf Henrik",1869,Västervik,Gotlands län,fk
1921,"Malmroth, Carl Anders Gustaf",1874,,,
1921,"Meurling, Carl Henrik Fredrik",1876,,,
1921,"Modig, Axel",1859,Eskilstuna,Södermanlands län och Västmanlands län,fk
1921,"Mogård, Johan Adolf Bertil",1892,Karlskoga,Örebro län,ak
1921,"Molander, Helmer",1892,,Västernorrlands län,ak
1921,"Molin, Carl August",1875,Aspa,Örebro län,ak
1921,"Moll, Victor Ludvig",1858,,,
1921,"Montelius, Gustaf Oscar Augustin",1843,,,
1921,"Morfeldt, Hans",1879,,Värmlands län,ak
1921,"Mosesson, Gustav Adolf",1877,Lidingö,Stockholms län,ak
1921,"Murray, Walter",1871,,,
1921,"Månsson, Karl Fabian",1872,Hagaström,Gävleborgs län,ak
1921,"Månsson, Nils",1869,Erlandsro,Malmöhus län,ak
1921,"Månsson, Per August",1857,Backa,Skaraborgs län,ak
1921,"Mårtensson, Johannes Victor",1885,Uddevalla,Göteborgs och Bohus län,ak
1921,"Möller, Fritz Gustav",1884,Stockholm,Stockholms län och Uppsala län,fk
1921,"Nilson, Erik Agabus",1862,Örebro,Örebro län,ak
1921,"Nilson, Karl August",1864,Kristinehamn,Värmlands län,fk
1921,"Nilsson, Alexander",1876,,Blekinge län och Kristianstads län,fk
1921,"Nilsson, Carl Petrus Valdemar",1881,,Gotlands län,fk
1921,"Nilsson, Erik Gustaf",1860,Vibberbo,Kopparbergs län,ak
1921,"Nilsson, Gustaf",1880,Kristianstad,Blekinge län och Kristianstads län,fk
1921,"Nilsson, Janne",1882,Hörby,Malmöhus län,ak
1921,"Nilsson, Johan",1874,Malmö,Malmöhus län,fk
1921,"Nilsson, Johan",1873,Kristianstad,Blekinge län,fk
1921,"Nilsson, Nils Anton",1874,,Malmöhus län,fk
1921,"Nilsson, Nils August",1867,Kabbarp,Malmöhus län,fk
1921,"Nilsson, Nils Erik",1866,Antnäs,Norrbottens län,ak
1921,"Nilsson, Olof",1863,Tånga,Malmöhus län,ak
1921,"Nilsson, Olof",1874,,Örebro län,ak
1921,"Nilsson, Per",1865,Bonarp,Kristianstads län,ak
1921,"Norberg, Rudolf Emil",1856,,,
1921,"Nordborg, Oskar Anshelm",1875,Göteborg,,fk
1921,"Nordgren, Olivia Louise",1880,,Malmöhus län,ak
1921,"Nordkvist, Erik Bernhard",1889,Skara,Skaraborgs län,ak
1921,"Norin, Per",1863,,Gävleborgs län,fk
1921,"Norling, Herman",1889,Lesjöfors,Värmlands län,ak
1921,"Norling, Nils Sigfrid",1880,Gävle,Gävleborgs län,fk
1921,"Norman, David",1887,Fagersta,Södermanlands län och Västmanlands län,fk
1921,"Norman, Johannes David",1879,,Kalmar län,ak
1921,"Norsell, Anders",1874,,Värmlands län,ak
1921,"Nothin, Torsten Karl Viktor",1884,Stockholm,Södermanlands län och Västmanlands län,fk
1921,"Nygren, Erik Vilhelm",1897,Stockholm,,ak
1921,"Nylander, Karl Axel Salomon",1888,Borås,Älvsborgs län,ak
1921,"Näslund, Per Johan",1886,,Västerbottens län,ak
1921,"Olofsson, Johan",1860,Digernäs,Jämtlands län,ak
1921,"Olovson, Oskar Emil",1883,Västerås,Västmanlands län,ak
1921,"Olsson, Anders",1885,Mora,Kopparbergs län,ak
1921,"Olsson, Anders Gustaf",1879,Torsby,Värmlands län,ak
1921,"Olsson, Carl Gustaf",1885,Golvvasta,Uppsala län,ak
1921,"Olsson, Carl Petrus",1881,Mellerud,Älvsborgs län,ak
1921,"Olsson, Cornelius",1857,Berg,Göteborgs och Bo  hus län,ak
1921,"Olsson, Erik Gustaf",1876,,Västmanlands län,ak
1921,"Olsson, Gustaf",1867,Ramsta,Södermanlands län,ak
1921,"Olsson, Gustav Adolv",1886,Gävle,Gävleborgs län,ak
1921,"Olsson, John Rikard",1878,,Västmanlands län,ak
1921,"Olsson, Karl Olof",1880,,Blekinge län och Kristianstads län,fk
1921,"Olsson, Lars",1869,Hov,Gävleborgs län,ak
1921,"Olsson, Nils",1873,,Jämtlands län,ak
1921,"Olsson, Nils Olof",1868,Rösta,Jämtlands län,ak
1921,"Olsson, Olof",1872,Göteborg,Malmöhus län,fk
1921,"Olsson, Olof",1859,Kullenbergstorp,Malmöhus län,ak
1921,"Olsson, Oscar Nathanael",1856,Broberg,Göteborgs och Bohus län,ak
